ticker,name,company_id,publisher_status_id,company_type_id,industry_groups_id,company_nature_id,created_at,audited
صنایع معدنی عصر نوین بهاباد,صنایع معدنی عصر نوین بهاباد,811755.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع معدنی فولاد سنگان خراسان,صنایع معدنی فولاد سنگان خراسان,811854.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع معدنی نوظهور شاهرود,صنایع معدنی نوظهور شاهرود,811836.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع معدنی نوظهور کویر بافق,صنایع معدنی نو ظهور کویر بافق,791443.0,4,1,-1,1000000,2025-10-29 09:11:47,False
صنایع معدنی و تولیدی مهر اصل,صنایع معدنی و تولیدی مهر اصل,811292.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع نیرو و انرژی پاک فولاد,صنایع نیرو و انرژی پاک فولاد,811868.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع و صادرات فارس,توسعه صنایع و صادرات فارس,751165.0,4,1,-1,1000005,2025-10-29 09:11:47,False
صنایع و معادن مس کرمان زمین,صنایع و معادن مس کرمان زمین,812005.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع ورق های سیمانی الیافدار ناب,صنایع ورقهای سیمانی الیافدار ناب,811638.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع یاس ارغوانی,مهندسی صنایع یاس ارغوانی,811324.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنایع کاشی و سرامیک الوند,کاشی و سرامیک الوند,810467.0,-1,-1,-1,1000000,2025-10-29 09:11:47,False
صنایع کشتی سازی بحر گسترش هرمز,صنایع کشتی سازی بحر گسترش هرمز,810365.0,5,-1,-1,1000000,2025-10-29 09:11:47,False
صنایع کشتی سازی عظیم گسترش هرمز,صنایع کشتی سازی عظیم گسترش هرمز,810368.0,5,-1,-1,1000000,2025-10-29 09:11:47,False
صنایع کشتی سازی ندیم گسترش خلیج فارس,صنایع کشتی سازی ندیم گسترش خلیج فارس,810581.0,5,-1,-1,1000000,2025-10-29 09:11:47,False
حکمت بازار,صندوق بازارگردانی حکمت ایرانیان یکم,46430311.0,3,1,46,1000002,2025-10-29 09:11:47,False
صادرات بازار,صندوق سرمایه گذاری بازارگردانی گنجینه سپهر صادرات,46430309.0,3,1,46,1000002,2025-10-29 09:11:47,False
صندوق اشتغال و کارآفرینی ایثارگران,صندوق اشتغال و کارآفرینی ایثارگران,810635.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنعت دارو بازار,اختصاصی بازارگردانی گسترش صنعت دارو,46430308.0,3,1,46,1000002,2025-10-29 09:11:47,False
صندوق بازنشستگی,صندوق حمایت و بازنشستگی کارکنان فولاد,791239.0,4,1,-1,1000000,2025-10-29 09:11:47,False
صندوق بازنشستگی آینده ساز ,صندوق حمایت و بازنشستگی آینده ساز,791229.0,4,1,-1,1000000,2025-10-29 09:11:47,False
صندوق بازنشستگی مستخدمین بیمه مرکزی ج.ا.ا,صندوق بازنشستگی کارکنان بیمه مرکزی جمهوری اسلامی ایران,810544.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق بازنشستگی و وظیفه مستخدمین سازمان بنادر ودریانوردی,صندوق بازنشستگی و وظیفه مستخدمین سازمان بنادر ودریانوردی,791479.0,4,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق بازنشستگی و وظیفه کارکنان هما,صندوق بازنشستگی و وظیفه کارکنان هما,791475.0,4,-1,-1,1000002,2025-10-29 09:11:47,False
صندوق بازنشستگی وظیفه از کار افتادگی و پس انداز کارکنان بانکهای ملی و ,صندوق بازنشستگی وظیفه از کار افتادگی و پس انداز کارکنان بانکهای ملی و ادغام شده,751180.0,4,-1,-1,1000002,2025-10-29 09:11:47,False
صندوق بازنشستگی کارکنان صدا و سیما,صندوق بازنشستگی کارکنان صدا و سیما (صندوق بازنشستگی صدا و سیما),791465.0,4,-1,-1,1000002,2025-10-29 09:11:47,False
صندوق بازنشستگی کشوری,صندوق بازنشستگی کشوری,791037.0,4,1,-1,1000005,2025-10-29 09:11:47,False
برلیان,در سهام برلیان,46430854.0,3,0,46,1000002,2025-10-29 09:11:47,False
صندوق بیمه اجتماعی روستاییان و عشایر,صندوق بیمه اجتماعی کشاورزان، روستاییان و عشایر,791030.0,4,-1,-1,1000002,2025-10-29 09:11:47,False
صندوق بیمه حوادث طبیعی ساختمان,صندوق بیمه حوادث طبیعی ساختمان,811387.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق بیمه سرمایه گذاری فعالیتهای معدنی,صندوق بیمه سرمایه گذاری فعالیتهای معدنی,810087.0,5,-1,-1,1000000,2025-10-29 09:11:47,False
صندوق بیمه کشاورزی,صندوق بیمه کشاورزی,810137.0,5,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق پژوهش و فناوری پرشین داروی البرز,صندوق پژوهش وفناوری پرشین داروی البرز,810863.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق پژوهش و فناوری غیر دولتی استان هرمزگان,صندوق پژوهش و فناوری غیر دولتی استان هرمزگان,812262.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق پژوهش و فناوری غیر دولتی جهاد دانشگاهی,صندوق پژوهش و فناوری غیر دولتی جهاد دانشگاهی,811253.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق پژوهش و فناوری غیر دولتی زاگرس استان کرمانشاه,صندوق پژوهش و فناوری غیر دولتی زاگرس استان کرمانشاه,812198.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق پژوهش و فناوری غیر دولتی نوآفرین,صندوق پژوهش و فناوری غیر دولتی نوآفرین,812138.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق پژوهش و فناوری غیر دولتی نوآوری اجتماعی,صندوق پژوهش و فناوری غیر دولتی نوآوری اجتماعی,812177.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق پژوهش و فناوری غیردولتی ارس,صندوق پژوهش و فناوری غیر دولتی ارس,811015.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق پژوهش و فناوری غیردولتی صنایع معدنی,صندوق پژوهش و فناوری غیردولتی صنایع معدنی,812010.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق پژوهش و فناوری غیردولتی صنعت نفت,صندوق پژوهش و فناوری غیردولتی صنعت نفت,812255.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق پژوهش وفناوری غیر دولتی توسعه صادرات وفناوری شریف,صندوق پژوهش وفناوری غیر دولتی توسعه صادرات وفناوری شریف,812236.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق تامین خسارت های بدنی,صندوق تامین خسارت های بدنی,751176.0,4,-1,-1,1000002,2025-10-29 09:11:47,False
صندوق توسعه صنایع دریایی,صندوق توسعه صنایع دریایی,810270.0,5,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق خیریه ذخیره علوی قم,صندوق خیریه ذخیره علوی قم,751391.0,4,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق ذخیره فرهنگیان,صندوق ذخیره فرهنگیان,812279.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صندوق رفاه و تأمین آتیه,صندوق رفاه و تأمین آتیه,812283.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
آتیه ملت,صندوق سرمایه گذاری آتیه ملت,46430013.0,3,0,46,1000002,2025-10-29 09:11:47,False
آکورد,آرمان آتی کوثر,46599959.0,3,1,46,1000002,2025-10-29 09:11:47,False
آرمان اندیش بازار,صندوق اختصاصی بازارگردانی آرمان اندیش,46430202.0,3,1,46,1000002,2025-10-29 09:11:47,False
آسام,آرمان سپهر آتی,46430603.0,3,1,46,1000002,2025-10-29 09:11:47,False
آرمان ثابت,صندوق سرمایه گذاری آرمان کارآفرین,46430015.0,3,1,46,1000002,2025-10-29 09:11:47,False
آساس,صندوق سرمایه گذاری آسمان آرمانی سهام(ETF),46430604.0,3,1,46,1000002,2025-10-29 09:11:47,False
آشنای دی ثابت,صندوق سرمایه گذاری حکمت آشنا ایرانیان,46430150.0,3,1,46,1000002,2025-10-29 09:11:47,False
صبانیک بازار,اختصاصی بازار گردان صبا نیک,46599795.0,3,1,46,1000002,2025-10-29 09:11:47,False
سینا بازار,صندوق سرمایه گذاری اختصاصی بازارگردانی بانک سینا,46430302.0,3,1,46,1000002,2025-10-29 09:11:47,False
توسعه ملی بازار,صندوق سرمایه گذاری بازارگردانی توسعه ملی,46430306.0,3,1,46,1000002,2025-10-29 09:11:47,False
مپنا بازار,اختصاصی بازارگردانی مپنا ایرانیان,46430310.0,3,1,46,1000002,2025-10-29 09:11:47,False
ارزش آفرینان ثابت,صندوق سرمایه گذاری ارزش آفرینان دی,46430007.0,3,1,46,1000002,2025-10-29 09:11:47,False
ارمغان ثابت,صندوق سرمایه گذاری ارمغان ایرانیان,46430001.0,3,0,46,1000002,2025-10-29 09:11:47,False
اعتماد,صندوق سرمایه گذاری اعتماد آفرین پارسیان(ETF),46430601.0,3,1,46,1000002,2025-10-29 09:11:47,False
امید توسعه سهام,صندوق سرمایه گذاری مشترک امید توسعه,46430118.0,3,1,46,1000002,2025-10-29 09:11:47,False
لوتوس بازار,صندوق سرمایه گذاری اختصاصی بازارگردانی امید لوتوس پارسیان,46430303.0,3,1,46,1000002,2025-10-29 09:11:47,False
